Date,Open,High,Low,Close,Adj Close,Volume
2022-12-12,133.47999572753906,141.25999450683594,131.58999633789062,140.39999389648438,140.39999389648438,78400
2022-12-13,145.9499969482422,148.3000030517578,144.55999755859375,147.1300048828125,147.1300048828125,135300
2022-12-14,148.16000366210938,150.07000732421875,143.4199981689453,146.75999450683594,146.75999450683594,93900
2022-12-15,144.25999450683594,147.60000610351562,142.0,145.39999389648438,145.39999389648438,87700
2022-12-16,140.0800018310547,143.17999267578125,139.0,141.05999755859375,141.05999755859375,470900
2022-12-19,144.1999969482422,146.8800048828125,141.0,145.3800048828125,145.3800048828125,132000
2022-12-20,144.4199981689453,154.19000244140625,144.4199981689453,153.22000122070312,153.22000122070312,98000
2022-12-21,156.66000366210938,157.97000122070312,153.32000732421875,153.49000549316406,153.49000549316406,104200
2022-12-22,152.4199981689453,153.08999633789062,143.47000122070312,145.85000610351562,145.85000610351562,105800
2022-12-23,148.02999877929688,156.3800048828125,147.55999755859375,155.9499969482422,155.9499969482422,91900
2022-12-27,158.05999755859375,158.05999755859375,153.4499969482422,156.6699981689453,156.6699981689453,104500
2022-12-28,156.85000610351562,156.85000610351562,147.0,148.6699981689453,148.6699981689453,77100
2022-12-29,149.36000061035156,158.5399932861328,147.8300018310547,157.47000122070312,157.47000122070312,88900
2022-12-30,156.89999389648438,159.14999389648438,153.85000610351562,154.8699951171875,154.8699951171875,110000
2023-01-03,153.94000244140625,156.4199981689453,136.86000061035156,141.97000122070312,141.97000122070312,171200
2023-01-04,140.25999450683594,149.50999450683594,139.7100067138672,148.5500030517578,148.5500030517578,146000
2023-01-05,150.0399932861328,152.83999633789062,146.7899932861328,150.6999969482422,150.6999969482422,144500
2023-01-06,154.10000610351562,159.0,151.35000610351562,151.97999572753906,151.97999572753906,116400
2023-01-09,157.60000610351562,163.1999969482422,151.7899932861328,153.75999450683594,153.75999450683594,145900
2023-01-10,157.44000244140625,162.05999755859375,153.8800048828125,161.1300048828125,161.1300048828125,167700
2023-01-11,163.55999755859375,164.2100067138672,156.10000610351562,161.97999572753906,161.97999572753906,128900
2023-01-12,164.82000732421875,172.75,161.52000427246094,166.99000549316406,166.99000549316406,131900
2023-01-13,166.0,169.3699951171875,159.6199951171875,168.9499969482422,168.9499969482422,94000
2023-01-17,173.8000030517578,174.22999572753906,168.33999633789062,173.02000427246094,173.02000427246094,179000
2023-01-18,174.60000610351562,175.3300018310547,166.4499969482422,170.27000427246094,170.27000427246094,191900
2023-01-19,168.3699951171875,177.0,167.77000427246094,174.2899932861328,174.2899932861328,207500
2023-01-20,176.99000549316406,177.89999389648438,173.25,177.6199951171875,177.6199951171875,153700
2023-01-23,179.66000366210938,181.1999969482422,174.24000549316406,179.9499969482422,179.9499969482422,174100
2023-01-24,177.64999389648438,180.33999633789062,172.41000366210938,174.97000122070312,174.97000122070312,102000
2023-01-25,174.60000610351562,181.4199981689453,170.27000427246094,178.22000122070312,178.22000122070312,108200
2023-01-26,180.00999450683594,181.97999572753906,173.83999633789062,176.1199951171875,176.1199951171875,104500
2023-01-27,176.1199951171875,182.05999755859375,174.74000549316406,174.85000610351562,174.85000610351562,88600
2023-01-30,171.75999450683594,174.25999450683594,169.8800048828125,171.36000061035156,171.36000061035156,138500
2023-01-31,172.3300018310547,179.8300018310547,170.1300048828125,177.5399932861328,177.5399932861328,119500
2023-02-01,177.0,178.6999969482422,164.91000366210938,176.27000427246094,176.27000427246094,167100
2023-02-02,174.5,175.1300048828125,166.0,168.72000122070312,168.72000122070312,191400
2023-02-03,167.85000610351562,176.1199951171875,167.85000610351562,170.42999267578125,170.42999267578125,117600
2023-02-06,169.5,171.60000610351562,168.0800018310547,170.42999267578125,170.42999267578125,115300
2023-02-07,170.27999877929688,177.6300048828125,169.6999969482422,176.17999267578125,176.17999267578125,110200
2023-02-08,177.2100067138672,190.89999389648438,176.55999755859375,187.99000549316406,187.99000549316406,284000
2023-02-09,186.47999572753906,189.0,171.64999389648438,173.47999572753906,173.47999572753906,263400
2023-02-10,157.89999389648438,174.36000061035156,157.0,173.02000427246094,173.02000427246094,1136000
2023-02-13,172.25,175.7100067138672,167.22999572753906,173.88999938964844,173.88999938964844,214700
2023-02-14,172.13999938964844,178.33999633789062,165.3000030517578,167.4499969482422,167.4499969482422,288500
2023-02-15,164.4499969482422,166.63999938964844,161.10000610351562,165.8000030517578,165.8000030517578,211300
2023-02-16,163.24000549316406,170.08999633789062,161.5399932861328,165.1300048828125,165.1300048828125,211800
2023-02-17,162.1999969482422,162.1999969482422,152.0800018310547,155.4600067138672,155.4600067138672,403100
2023-02-21,152.86000061035156,156.49000549316406,149.16000366210938,149.38999938964844,149.38999938964844,200000
2023-02-22,149.0,152.77000427246094,141.14999389648438,144.39999389648438,144.39999389648438,220300
2023-02-23,147.55999755859375,148.0,139.38999938964844,142.47999572753906,142.47999572753906,274100
2023-02-24,139.99000549316406,148.52999877929688,138.6199951171875,146.88999938964844,146.88999938964844,212800
2023-02-27,146.91000366210938,152.0,145.3300018310547,151.42999267578125,151.42999267578125,159100
2023-02-28,153.22999572753906,155.4199981689453,150.3000030517578,150.30999755859375,150.30999755859375,159900
2023-03-01,150.6699981689453,155.66000366210938,150.6699981689453,153.75999450683594,153.75999450683594,175200
2023-03-02,152.00999450683594,159.4499969482422,150.30999755859375,158.8000030517578,158.8000030517578,120600
2023-03-03,155.99000549316406,162.74000549316406,155.77999877929688,160.6199951171875,160.6199951171875,188100
2023-03-06,159.5,160.3000030517578,157.5,158.86000061035156,158.86000061035156,152500
2023-03-07,158.39999389648438,160.75999450683594,151.3000030517578,152.1999969482422,152.1999969482422,191500
2023-03-08,151.39999389648438,156.1699981689453,142.9600067138672,145.47999572753906,145.47999572753906,261700
2023-03-09,146.6199951171875,149.39999389648438,135.5500030517578,136.22000122070312,136.22000122070312,258800
2023-03-10,136.5399932861328,140.0,132.44000244140625,133.44000244140625,133.44000244140625,250600
2023-03-13,126.37999725341797,132.1999969482422,123.54000091552734,125.79000091552734,125.79000091552734,316100
2023-03-14,127.33000183105469,131.14999389648438,121.13999938964844,123.97000122070312,123.97000122070312,282100
2023-03-15,115.44000244140625,118.94999694824219,111.5,116.30999755859375,116.30999755859375,448400
2023-03-16,112.79000091552734,118.01000213623047,108.4800033569336,115.23999786376953,115.23999786376953,420600
2023-03-17,113.70999908447266,113.70999908447266,106.31999969482422,107.55999755859375,107.55999755859375,613200
2023-03-20,108.7300033569336,113.94000244140625,108.31999969482422,112.73999786376953,112.73999786376953,213700
2023-03-21,116.04000091552734,120.25,115.3499984741211,117.70999908447266,117.70999908447266,310800
2023-03-22,118.9000015258789,118.9000015258789,111.79000091552734,111.94999694824219,111.94999694824219,212200
2023-03-23,113.12000274658203,117.63999938964844,108.30999755859375,110.25,110.25,229600
2023-03-24,107.33000183105469,110.36000061035156,106.3499984741211,108.36000061035156,108.36000061035156,299400
2023-03-27,112.55000305175781,116.8499984741211,108.91000366210938,116.0999984741211,116.0999984741211,172300
2023-03-28,115.41000366210938,121.83000183105469,115.41000366210938,119.0999984741211,119.0999984741211,215000
2023-03-29,123.0,123.0,118.33999633789062,120.0199966430664,120.0199966430664,151700
2023-03-30,122.33000183105469,122.33000183105469,117.1500015258789,119.47000122070312,119.47000122070312,245100
