Date,Adj Close,Close,High,Low,Open,Volume
2023-03-15,181.8782958984375,195.41000366210938,197.1199951171875,192.7899932861328,195.7899932861328,140200
2023-03-16,184.5774383544922,198.30999755859375,199.0,194.44000244140625,194.44000244140625,159500
2023-03-17,184.4285430908203,198.14999389648438,199.50999450683594,194.57000732421875,198.13999938964844,377400
2023-03-20,186.7833251953125,200.67999267578125,201.2899932861328,198.5,198.5,145300
2023-03-21,188.0677490234375,202.05999755859375,202.0800018310547,199.39999389648438,201.0,134300
2023-03-22,188.01194763183594,202.0,203.0,200.9199981689453,201.17999267578125,168700
2023-03-23,190.3387908935547,204.5,204.85000610351562,201.22000122070312,201.22000122070312,163400
2023-03-24,193.42889404296875,207.82000732421875,209.27000427246094,204.5800018310547,204.5800018310547,184100
2023-03-27,186.4110107421875,200.27999877929688,209.13999938964844,198.66000366210938,208.2100067138672,234700
2023-03-28,185.8060302734375,199.6300048828125,200.72000122070312,193.60000610351562,198.64999389648438,293100
2023-03-29,185.470947265625,199.27000427246094,200.94000244140625,197.77999877929688,200.3300018310547,661600
2023-03-30,186.95086669921875,200.86000061035156,200.8699951171875,198.9499969482422,200.05999755859375,144600
2023-03-31,188.83096313476562,202.8800048828125,204.0800018310547,201.0,202.22000122070312,150800
2023-04-03,191.40914916992188,205.64999389648438,206.63999938964844,202.6699981689453,203.00999450683594,130500
2023-04-04,191.7535400390625,206.02000427246094,206.9199981689453,202.67999267578125,204.97999572753906,123000
2023-04-05,187.2952423095703,201.22999572753906,206.8800048828125,200.91000366210938,205.9600067138672,77600
2023-04-06,186.56924438476562,200.4499969482422,203.44000244140625,199.32000732421875,201.8300018310547,117900
2023-04-10,186.62509155273438,200.50999450683594,200.75,198.61000061035156,200.55999755859375,114900
2023-04-11,188.0398406982422,202.02999877929688,202.55999755859375,200.75999450683594,200.8699951171875,129100
2023-04-12,187.18353271484375,201.11000061035156,202.1999969482422,200.60000610351562,202.1300048828125,100400
2023-04-13,187.2952423095703,201.22999572753906,201.88999938964844,200.27999877929688,201.88999938964844,90100
2023-04-14,184.35406494140625,198.07000732421875,201.0399932861328,197.52999877929688,200.82000732421875,78500
2023-04-17,183.0789337158203,196.6999969482422,198.72999572753906,196.11000061035156,198.72999572753906,89800
2023-04-18,187.4720458984375,201.4199981689453,201.61000061035156,196.11000061035156,196.6999969482422,136800
2023-04-19,189.8641357421875,203.99000549316406,204.30999755859375,201.92999267578125,202.72000122070312,84000
2023-04-20,190.7669677734375,204.9600067138672,205.77000427246094,203.99000549316406,203.99000549316406,79900
2023-04-21,192.35850524902344,206.6699981689453,207.33999633789062,203.52000427246094,205.2100067138672,127400
2023-04-24,191.08340454101562,205.3000030517578,207.0,204.35000610351562,205.97000122070312,71400
2023-04-25,190.95309448242188,205.16000366210938,206.6999969482422,204.52000427246094,205.3000030517578,178700
2023-04-26,190.72972106933594,204.9199981689453,205.6699981689453,201.27999877929688,203.57000732421875,621500
2023-04-27,195.46722412109375,210.00999450683594,210.5500030517578,204.92999267578125,205.0,124200
2023-04-28,194.6388702392578,209.1199951171875,210.35000610351562,207.50999450683594,209.9199981689453,278400
2023-05-01,197.98028564453125,212.7100067138672,213.24000549316406,208.7899932861328,209.05999755859375,92500
2023-05-02,194.9366912841797,209.44000244140625,212.30999755859375,207.64999389648438,211.82000732421875,122600
2023-05-03,198.06402587890625,212.8000030517578,215.07000732421875,208.94000244140625,209.9199981689453,126500
2023-05-04,200.3350372314453,215.24000549316406,218.82000732421875,208.86000061035156,212.0,174200
2023-05-05,203.68577575683594,218.83999633789062,220.64999389648438,216.0,216.4499969482422,103600
2023-05-08,202.95977783203125,218.05999755859375,218.9600067138672,217.17999267578125,218.27000427246094,74400
