# Description: S&P 400 investment options. 10/02/2020

# Format
"Investment Option","Description","Asset Class","3 mo","6 mo","1 Yr","1-1 Yr","3 Yr","5 Yr","Vola","DS Vola","SD 1 Yr","SD 3 Yr","SD 5 Yr"
"ENVA","Enova International, Inc.","US Stocks:Financials","25.54","93.47","69.82","76.27","51.38","39.33","33.55","10.82","41.11","45.13","42.88"
"EPAC","Enerpac Tool Group","US Stocks:Industrials","-41.01","-31.79","-13.81","-10.23","11.43","5.70","27.85","19.03","20.52","22.74","31.45"
"EPAM","EPAM Systems","US Stocks:Technology","-92.85","-51.69","-28.94","-28.26","-26.19","-24.11","37.12","26.96","47.70","46.18","55.83"
"EPC","Edgewell Personal Care","US Stocks:Consumer Staples","84.72","27.85","-27.66","-23.98","-19.33","-9.31","37.89","18.89","34.26","23.70","28.60"
"EPRT","Essential Properties Realty Trust, Inc.","US Stocks:Real Estate","29.80","5.53","2.09","2.85","14.03","7.80","20.14","11.52","18.79","19.37","22.33"
"ESE","ESCO Technologies Inc.","US Stocks:Industrials","282.15","102.62","101.27","101.11","47.60","23.59","36.93","14.80","28.58","31.61","32.30"
"ESI","Element Solutions","US Stocks:Materials","314.83","161.31","114.99","94.34","34.34","18.15","51.04","15.64","31.26","29.19","29.18"
"ETD","Ethan Allen Interiors, Inc.","US Stocks:Consumer Discretionary","-23.77","-31.38","-16.81","-15.44","0.67","2.14","21.40","11.51","21.42","30.75","31.03"
"ETSY","Etsy","US Stocks:Consumer Discretionary","119.36","-15.15","51.70","37.83","-12.20","-19.84","50.79","16.79","57.83","48.57","55.66"
"EVTC","EVERTEC, Inc.","US Stocks:Financials","16.10","-4.77","-10.24","-8.70","-2.70","-5.36","27.13","14.23","19.76","25.15","26.38"
"EXTR","Extreme Networks, Inc.","US Stocks:Technology","347.84","10.99","67.18","36.51","10.33","17.93","105.11","24.16","55.49","47.86","52.42"
"EYE","National Vision Holdings","US Stocks:Consumer Discretionary","-42.66","-25.56","81.96","95.77","1.76","-14.75","56.04","34.82","69.10","56.91","55.28"
"EZPW","EZCORP, Inc.","US Stocks:Financials","460.42","218.41","98.04","97.61","54.69","45.27","28.52","8.81","42.14","33.30","37.74"
"FBK","FB Financial Corp.","US Stocks:Financials","-20.52","-5.46","28.11","31.81","23.93","7.00","25.57","14.45","15.55","30.35","29.43"
"FBNC","First Bancorp (Southern Pines NC)","US Stocks:Financials","6.70","36.13","44.78","51.72","23.89","9.37","30.58","15.54","22.26","30.02","30.33"
"FBP","First BanCorp (Puerto Rico)","US Stocks:Financials","46.11","47.46","24.07","28.85","32.48","19.38","29.45","14.81","19.72","24.90","27.88"
"FBRT","Franklin BSP Realty Trust, Inc.","US Stocks:Real Estate","-35.51","-22.34","-12.84","-10.62","-0.07","-0.07","20.90","9.83","21.92","18.88","28.87"
"FCF","First Commonwealth Financial, Corp.","US Stocks:Financials","22.14","30.94","23.97","29.44","19.77","9.37","19.30","10.55","17.69","28.95","28.64"
"FCPT","Four Corners Property Trust, Inc.","US Stocks:Real Estate","33.12","15.17","-3.66","-2.30","5.60","2.36","20.06","6.82","15.17","18.36","19.52"
"FDP","Fresh Del Monte Produce, Inc.","US Stocks:Consumer Staples","31.63","51.96","24.26","25.80","16.42","10.28","20.80","10.22","23.76","25.70","29.15"
"FELE","Franklin Electric","US Stocks:Industrials","17.25","8.13","16.23","16.89","5.28","5.79","26.74","12.35","14.80","22.12","24.12"
"FFBC","First Financial Bancorp","US Stocks:Financials","51.54","60.94","34.16","39.69","17.94","9.02","25.27","11.76","20.26","27.70","27.67"
"FG","F&G Annuities & Life, Inc.","US Stocks:Financials","2.61","-4.65","-16.49","-15.54","17.73","17.73","39.49","25.40","34.70","40.33","39.56"
"FHB","First Hawaiian, Inc.","US Stocks:Financials","2.86","20.87","22.44","23.97","15.99","4.30","22.45","9.39","16.13","26.31","27.08"
"FIBK","First Interstate BancSystem, Inc.","US Stocks:Financials","-18.33","20.83","30.26","35.37","15.01","-0.48","21.93","13.22","17.80","28.44","29.79"
"FIZZ","National Beverage Corp.","US Stocks:Consumer Staples","7.31","-6.00","-22.34","-20.70","-11.05","-6.34","23.46","13.43","21.52","25.30","30.02"
"FLO","Flowers Foods","US Stocks:Consumer Staples","-54.20","-47.30","-45.45","-45.67","-27.10","-14.44","19.66","6.89","24.42","19.81","19.95"
"FMC","FMC Corporation","US Stocks:Materials","-28.72","-76.64","-63.28","-61.37","-48.91","-31.48","55.64","39.58","60.18","50.32","42.67"
"FORM","FormFactor, Inc.","US Stocks:Technology","1117.84","858.78","374.88","373.47","69.08","23.29","66.12","33.21","68.79","55.60","50.24"
"FOXF","Fox Factory","US Stocks:Consumer Discretionary","-30.71","-50.18","-16.60","-16.16","-46.59","-35.11","52.38","25.21","53.29","49.02","47.06"
"FRPT","Freshpet","US Stocks:Consumer Staples","-26.78","40.39","-9.89","-12.06","0.48","-17.38","42.91","19.61","52.74","52.88","51.97"
"FSS","Federal Signal Corporation","US Stocks:Industrials","55.32","-5.54","62.70","49.26","34.31","25.43","43.24","17.43","30.28","34.64","32.39"
"FTDR","Frontdoor, Inc.","US Stocks:Consumer Discretionary","5.32","-22.53","48.69","51.02","30.57","2.13","29.47","12.45","50.07","43.20","41.53"
"FTRE","Fortrea","US Stocks:Healthcare","-84.13","3.30","73.68","81.76","73.68","73.68","55.97","32.55","99.44","78.76","78.76"
"FUL","H.B. Fuller Company","US Stocks:Materials","2.86","-0.13","12.00","15.24","-2.16","-1.05","44.06","22.07","18.31","23.35","25.13"
"FULT","Fulton Financial Corporation","US Stocks:Financials","30.54","47.36","31.97","35.35","25.39","9.48","24.17","12.45","16.46","26.90","27.74"
"FUN","Six Flags","US Stocks:Consumer Discretionary","13.72","-54.59","-49.31","-49.58","-23.28","-17.61","53.75","23.01","44.39","37.99","32.05"
"FWRD","Forward Air Corp.","US Stocks:Industrials","-62.13","18.26","48.14","53.28","-41.83","-23.91","48.66","17.31","78.65","71.06","58.92"
"GBX","The Greenbrier Companies, Inc.","US Stocks:Industrials","-9.78","14.02","15.97","17.31","22.52","3.84","51.06","29.32","23.00","45.82","46.58"
"GDYN","Grid Dynamics Holdings, Inc.","US Stocks:Technology","-78.93","-53.08","-59.76","-59.89","-21.10","-17.00","40.41","22.25","36.03","44.65","56.99"
"GEO","GEO Group, Inc.","US Stocks:Industrials","94.33","24.40","-37.50","-38.46","34.66","25.86","34.57","15.59","36.34","59.05","56.11"
"GFF","Griffon Corporation","US Stocks:Industrials","42.07","34.72","33.39","38.22","49.29","32.61","34.99","16.73","31.28","42.49","50.50"
"GIII","G-III Apparel Group, Ltd.","US Stocks:Consumer Discretionary","47.80","20.55","24.26","22.38","23.67","-0.71","24.63","8.86","35.20","35.98","41.59"
"GKOS","Glaukos Corp.","US Stocks:Healthcare","-20.69","138.84","24.68","23.74","34.43","4.98","31.18","13.95","37.41","39.38","45.03"
"GNL","Global Net Lease, Inc.","US Stocks:Real Estate","14.39","66.03","37.96","38.94","7.30","-1.64","15.32","7.52","19.40","30.36","32.44"
"GNW","Genworth Financial, Inc.","US Stocks:Financials","45.31","13.49","31.91","33.88","14.47","19.12","16.63","6.66","19.42","23.91","32.47"
"GO","Grocery Outlet","US Stocks:Consumer Staples","-56.15","-71.28","-52.03","-49.71","-36.04","-27.72","40.20","16.24","57.54","54.95","50.21"
"GOGO","Gogo, Inc.","US Stocks:Communication Services","-41.53","-82.16","-48.58","-46.98","-33.83","-17.74","55.38","32.01","79.26","56.70","57.71"
"GOLF","Acushnet Company","US Stocks:Consumer Discretionary","3.90","36.53","51.79","58.61","24.83","18.48","23.36","10.69","26.31","29.93","29.79"
"GPI","Group 1 Automotive, Inc.","US Stocks:Consumer Discretionary","-39.37","-30.44","-13.78","-14.78","15.93","18.05","22.65","8.67","23.19","29.04","30.58"
"GRBK","Green Brick Partners, Inc.","US Stocks:Consumer Discretionary","-11.30","-1.00","16.12","22.14","21.85","22.44","39.39","20.49","28.21","40.04","46.28"
"GSHD","Goosehead Insurance, Inc.","US Stocks:Financials","-67.65","-58.16","-50.06","-50.83","-3.45","-13.23","64.33","34.02","35.32","50.95","55.26"
"GTES","Gates Corporation","US Stocks:Industrials","37.00","-8.79","37.62","39.69","23.15","7.87","46.07","24.05","35.03","34.68","32.59"
"GTM","ZoomInfo","US Stocks:Communication Services","-75.52","-71.19","-29.62","-29.69","-34.18","-34.17","54.45","30.73","35.90","42.02","45.16"
"GTY","Getty Realty Corp.","US Stocks:Real Estate","78.77","41.16","26.01","29.41","5.99","7.50","18.26","10.05","15.33","17.97","20.39"
"GVA","Granite Construction, Inc.","US Stocks:Industrials","10.62","39.91","53.37","56.89","48.70","27.24","23.20","10.28","23.25","27.64","32.19"
"HAFC","Hanmi Financial Corporation","US Stocks:Financials","119.52","25.47","36.96","42.75","25.00","13.81","33.76","14.93","20.70","34.91","33.07"
"HASI","Hannon Armstrong Sustainable Infrastructure Capital, Inc.","US Stocks:Financials","94.85","107.97","67.00","71.87","18.40","-1.05","18.86","8.35","29.62","45.58","45.16"
"HAYW","Hayward Holdings, Inc.","US Stocks:Industrials","-30.18","-6.75","13.22","22.58","8.39","-2.69","32.62","20.08","28.37","35.33","41.15"
"HCC","Warrior Met Coal, Inc.","US Stocks:Materials","0.11","96.01","85.14","83.27","36.00","41.31","38.12","22.09","28.23","36.68","37.70"
"HCI","HCI Group, Inc.","US Stocks:Financials","0.21","-41.56","9.25","12.53","44.72","18.87","23.85","15.73","42.77","41.34","45.10"
"HCSG","Healthcare Services Group, Inc.","US Stocks:Industrials","74.82","26.83","54.68","57.79","14.34","-5.77","74.06","25.46","35.43","43.82","41.46"
"HE","Hawaiian Electric Industries, Inc.","US Stocks:Utilities","-20.27","53.77","46.23","51.49","-26.85","-17.34","25.89","13.91","34.50","71.76","56.79"
"HFWA","Heritage Financial Corporation","US Stocks:Healthcare","35.93","44.29","24.49","27.18","18.95","4.27","27.24","16.97","19.39","29.57","31.45"
"HIW","Highwoods Properties","US Stocks:Real Estate","-17.77","-30.35","-10.17","-5.03","9.62","-5.02","29.15","17.26","25.06","28.16","26.95"
"HLIT","Harmonic Inc.","US Stocks:Technology","11.63","-2.84","10.85","10.86","-10.32","6.12","26.61","12.95","31.74","44.14","42.92"
"HLX","Helix Energy Solutions Group, Inc.","US Stocks:Energy","218.57","127.92","64.23","60.25","8.72","18.13","35.55","24.17","30.85","41.58","58.32"
"HMN","Horace Mann Educators Corporation","US Stocks:Financials","31.99","10.23","13.72","17.01","17.13","6.21","15.44","8.31","12.51","16.94","18.07"
"HNI","HNI Corporation","US Stocks:Industrials","-63.90","-32.21","-10.68","-7.32","15.08","1.03","39.54","16.46","37.88","33.24","31.08"
"HOPE","Hope Bancorp, Inc.","US Stocks:Financials","28.03","40.92","30.79","35.28","14.60","1.00","28.99","15.95","21.40","33.76","31.54"
"HP","Helmerich & Payne, Inc.","US Stocks:Energy","143.90","170.08","116.40","105.57","8.14","14.72","42.60","23.51","40.05","42.32","45.82"
"HRMY","Harmony Biosciences Holdings, Inc.","US Stocks:Healthcare","-49.54","6.34","5.76","5.23","-1.42","2.09","37.90","14.35","48.33","42.05","45.48"
"HSTM","HealthStream, Inc.","US Stocks:Healthcare","-8.66","-32.85","-35.68","-34.64","-7.67","-0.68","25.39","13.97","22.38","23.16","25.45"
"HTH","Hilltop Holdings Inc.","US Stocks:Financials","16.61","33.71","32.65","34.51","8.65","4.85","24.45","12.83","23.26","23.04","25.89"
"HTLD","Heartland Express, Inc.","US Stocks:Industrials","204.58","173.20","66.89","67.99","-4.44","-5.80","41.71","12.67","38.13","38.77","32.96"
"HTO","H2O America","US Stocks:Utilities","65.71","32.05","11.46","13.98","-7.30","-0.92","28.06","15.21","18.18","18.96","22.03"
"HTZ","Hertz","US Stocks:Industrials","35.54","17.33","-34.20","-30.72","-28.99","-28.99","103.37","51.78","40.91","82.29","76.99"
"HUBG","Hub Group, Inc.","US Stocks:Industrials","-33.49","42.12","34.31","38.71","1.94","5.99","30.11","11.29","32.79","34.03","32.26"
"HWKN","Hawkins, Inc.","US Stocks:Materials","31.96","-5.29","34.07","34.08","57.41","39.36","31.98","14.93","36.42","40.20","37.75"
"HZO","MarineMax, Inc.","US Stocks:Consumer Discretionary","28.36","12.62","26.06","30.19","1.30","-10.72","38.19","19.40","33.58","49.69","43.92"
"IART","Integra Lifesciences Holdings","US Stocks:Healthcare","-26.32","-59.96","-39.60","-36.11","-44.44","-32.95","50.88","30.53","39.21","44.54","38.24"
"IBP","Installed Building Products, Inc.","US Stocks:Consumer Discretionary","-9.32","11.96","71.75","76.71","34.21","19.29","43.83","16.23","40.86","52.79","49.34"
"ICHR","Ichor Holdings, Ltd.","US Stocks:Technology","1714.12","638.27","202.18","211.95","30.86","2.08","53.30","24.51","96.95","71.94","62.48"
"ICUI","ICU Medical","US Stocks:Healthcare","-64.23","-11.77","-15.05","-10.80","-14.28","-11.59","32.21","19.65","30.84","38.04","35.79"
"IIIN","Insteel Industries, Inc.","US Stocks:Industrials","-58.97","-24.89","-20.08","-20.52","2.24","-0.31","88.02","79.13","35.58","39.03","35.45"
"IIPR","Innovative Industrial Properties, Inc.","US Stocks:Real Estate","78.11","17.10","14.52","21.02","2.20","-14.50","41.13","23.86","17.72","37.80","40.68"
"INDB","Independent Bank Corp.","US Stocks:Financials","-8.87","31.55","37.04","40.44","14.11","2.90","20.71","11.73","17.47","37.84","34.14"
"INDV","Indivior","US Stocks:Healthcare","-8.64","89.92","195.16","197.84","24.37","27.97","40.56","20.94","43.22","52.14","48.79"
"INSP","Inspire Medical Systems, Inc.","US Stocks:Healthcare","-82.01","-53.35","-66.22","-65.35","-42.13","-25.20","53.97","33.77","87.81","70.14","60.69"
"INSW","International Seaways, Inc.","US Stocks:Energy","288.09","206.00","160.38","161.26","38.57","48.31","34.04","16.86","31.96","33.73","39.46"
"INVA","Innoviva, Inc.","US Stocks:Healthcare","93.24","69.21","25.41","29.88","25.01","13.91","23.02","12.83","31.56","26.38","28.23"
"INVX","Innovex International, Inc.","US Stocks:Energy","57.82","86.13","77.36","76.93","-0.19","0.10","23.97","9.34","25.72","37.34","44.45"
"IOSP","Innospec, Inc.","US Stocks:Materials","-17.19","3.52","-13.96","-12.78","-8.92","-3.17","22.27","10.57","20.46","24.86","25.82"
"IPAR","Inter Parfums, Inc.","US Stocks:Consumer Staples","-15.85","-7.94","-13.69","-12.29","-14.59","6.38","31.04","17.37","37.51","35.17","36.46"
"IRDM","Iridium Communications","US Stocks:Communication Services","791.08","322.74","54.80","65.74","-16.46","0.62","84.10","29.55","59.20","47.01","40.59"
"ITGR","Integer Holdings Corporation","US Stocks:Healthcare","-9.99","42.06","-31.85","-31.42","0.88","-2.05","26.35","15.24","43.57","33.02","30.79"
"ITRI","Itron, Inc.","US Stocks:Technology","-51.74","-63.09","-24.21","-21.20","16.15","-1.77","35.76","24.59","27.53","35.31","37.48"
"JBGS","JBG Smith","US Stocks:Real Estate","-32.00","-50.14","5.77","10.90","7.38","-10.54","30.29","18.25","37.35","31.53","29.63"
"JBLU","JetBlue","US Stocks:Industrials","-14.95","5.15","18.92","28.87","-10.80","-24.59","88.18","35.38","44.91","58.73","52.58"
"JBSS","John B. Sanfilippo & Son, Inc.","US Stocks:Consumer Staples","22.91","69.82","21.91","20.10","-5.76","0.21","22.25","12.41","22.67","24.57","23.43"
"JBTM","JBT Marel Corporation","US Stocks:Industrials","-66.85","-13.72","15.82","25.59","3.92","-2.31","35.94","26.75","30.91","28.36","28.06"
"JJSF","J&J Snack Foods Corp.","US Stocks:Consumer Staples","-22.28","-5.25","-29.26","-30.13","-14.78","-10.13","20.91","10.97","26.39","23.14","25.32"
"JOE","St. Joe Company","US Stocks:Real Estate","31.19","85.63","63.59","68.26","19.92","10.87","23.13","10.40","24.76","33.65","34.01"
"JXN","Jackson Financial, Inc.","US Stocks:Financials","0.79","37.62","53.14","55.73","53.61","53.61","31.27","16.56","22.43","34.22","43.40"
"KAI","Kadant Inc.","US Stocks:Industrials","-11.81","2.07","-1.97","-0.07","16.97","11.86","38.58","18.39","24.43","34.00","31.51"
"KALU","Kaiser Aluminum Corporation","US Stocks:Materials","290.39","250.87","175.48","192.85","46.85","13.38","50.03","12.41","44.81","44.21","43.60"
"OPLN","OPENLANE, Inc.","US Stocks:Industrials","20.83","39.65","73.25","71.32","32.03","15.76","17.25","5.32","33.07","31.26","37.90"
"KFY","Korn/Ferry International","US Stocks:Industrials","3.38","-8.11","11.07","11.85","13.70","2.19","29.59","20.28","20.52","24.46","27.20"
"KGS","Kodiak Gas Services, Inc.","US Stocks:Energy","669.68","260.84","98.61","101.02","98.61","98.61","16.79","5.18","33.64","33.54","33.54"
"KLIC","Kulicke and Soffa Industries, Inc.","US Stocks:Technology","329.01","326.68","163.82","163.51","22.64","11.00","43.12","17.75","38.69","38.35","41.01"
"KMPR","Kemper Corporation","US Stocks:Financials","-41.22","-46.86","-41.91","-40.51","-12.65","-14.51","24.02","12.83","26.52","30.36","33.18"
"KMT","Kennametal","US Stocks:Industrials","62.92","193.93","105.63","108.34","17.62","2.16","26.17","11.98","39.11","34.38","36.43"
"KMX","CarMax, Inc.","US Stocks:Consumer Discretionary","-55.52","-27.63","-41.10","-40.58","-17.73","-21.55","65.14","53.25","36.30","37.64","37.40"
"KN","Knowles Corporation","US Stocks:Technology","142.86","65.91","89.39","88.50","23.72","7.76","29.58","14.83","26.89","30.18","32.86"
"KNTK","Kinetik Holdings, Inc.","US Stocks:Energy","157.66","72.17","23.12","23.02","27.13","21.50","30.55","21.23","24.72","28.51","30.14"
"KOP","Koppers Holdings, Inc.","US Stocks:Materials","246.53","85.00","59.46","65.65","6.53","4.52","35.38","20.89","38.01","38.76","37.76"
"KRYS","Krystal Biotech, Inc.","US Stocks:Healthcare","-17.68","87.32","53.16","60.22","45.15","27.00","28.51","16.94","41.23","49.14","50.38"
"KSS","Kohl's Corp.","US Stocks:Consumer Discretionary","-54.80","-24.81","107.67","117.50","-8.94","-20.10","54.45","25.82","74.41","62.99","57.67"
"KTB","Kontoor Brands","US Stocks:Consumer Discretionary","153.47","-27.91","21.54","20.59","19.47","5.71","47.76","24.27","49.19","40.61","37.67"
"KW","Kennedy-Wilson Holdings, Inc.","US Stocks:Real Estate","59.98","96.11","75.16","76.94","-7.22","-6.66","3.00","1.69","34.94","37.88","33.74"
"KWR","Quaker Chemical Corporation","US Stocks:Materials","-38.82","1.58","28.64","34.56","-9.89","-10.00","40.79","21.34","35.38","34.48","33.79"
"LAUR","Laureate Education, Inc.","US Stocks:Consumer Discretionary","-26.95","11.55","60.03","58.97","40.52","41.05","39.33","31.76","31.76","22.93","27.98"
"LBRT","Liberty Energy, Inc.","US Stocks:Energy","486.81","307.85","181.87","177.72","37.09","28.66","53.91","25.09","52.41","48.56","51.42"
"LCII","LCI Industries","US Stocks:Consumer Discretionary","-58.28","69.88","57.42","56.73","5.58","-0.27","33.99","20.21","34.23","35.17","36.70"
"LEG","Leggett & Platt","US Stocks:Consumer Discretionary","-26.76","40.47","51.22","55.71","-27.42","-23.29","59.70","16.73","25.30","38.76","34.57"
"LFST","Lifestance Health","US Stocks:Healthcare","19.93","111.41","13.78","17.46","-1.77","-1.77","30.10","13.01","61.78","55.21","62.72"
"LGIH","LGI Homes","US Stocks:Consumer Discretionary","-14.74","10.67","-19.11","-17.65","-25.65","-21.90","67.98","25.87","58.59","51.87","48.87"
"LIF","Life360","US Stocks:Technology","-77.97","-80.99","6.20","7.65","6.20","6.20","79.63","45.36","68.79","57.21","57.21"
"LGND","Ligand Pharmaceuticals, Inc.","US Stocks:Healthcare","95.26","40.11","106.52","114.97","42.77","19.49","46.84","19.89","29.28","37.18","39.86"
"LKFN","Lakeland Financial","US Stocks:Financials","14.27","6.75","12.33","19.18","5.37","0.48","23.15","13.59","18.61","25.10","26.59"
"LKQ","LKQ Corporation","US Stocks:Consumer Discretionary","-18.35","-1.28","-14.53","-13.74","-16.34","-4.88","23.26","14.11","31.07","28.09","27.70"
"LMAT","LeMaitre Vascular","US Stocks:Healthcare","155.28","43.00","18.25","23.82","26.15","15.98","28.40","20.50","34.92","34.83","32.71"
"LNC","Lincoln Financial","US Stocks:Financials","-29.68","-11.87","21.03","23.58","27.53","-5.20","22.06","9.33","28.32","33.97","39.59"
"LNN","Lindsay Corporation","US Stocks:Materials","-37.10","-6.84","-13.50","-12.84","-3.36","-6.62","52.49","43.21","29.30","24.32","28.53"
"LPG","Dorian LPG Ltd.","US Stocks:Energy","251.68","110.45","95.36","90.77","34.78","45.78","30.89","15.59","43.15","44.90","43.85"
"LQDT","Liquidity Services, Inc.","US Stocks:Industrials","54.79","115.75","13.04","12.36","39.64","15.16","12.52","3.85","43.68","35.57","45.04"
"LRN","Stride, Inc.","US Stocks:Consumer Discretionary","74.88","-61.13","-32.44","-34.34","35.68","25.12","32.74","21.35","70.78","48.59","45.42"
"LTC","LTC Properties, Inc.","US Stocks:Real Estate","47.08","22.68","14.80","15.60","10.87","4.16","20.07","12.49","17.17","13.41","21.11"
"LTH","Life Time Group Holdings, Inc.","US Stocks:Consumer Discretionary","-32.70","-3.99","-16.01","-15.63","14.25","14.25","31.65","19.99","23.67","39.90","49.98"
"LUMN","Lumen Technologies","US Stocks:Communication Services","-19.00","-13.80","142.74","160.30","53.13","-5.42","55.08","20.86","77.66","132.36","108.89"
"LW","Lamb Weston","US Stocks:Consumer Staples","-17.09","-57.01","-14.50","-14.71","-25.33","-10.13","42.83","32.37","37.27","36.31","33.97"
"LXP","Lexington Realty Trust","US Stocks:Real Estate","24.44","17.72","34.38","38.58","7.64","1.74","27.42","13.13","21.68","25.41","26.86"
"LYFT","Lyft, Inc.","US Stocks:Industrials","-51.68","-51.68","16.97","16.46","11.95","-25.14","37.49","18.21","52.77","57.82","61.33"
"LZ","LegalZoom.com, Inc.","US Stocks:Industrials","-76.78","-60.08","-10.26","-7.88","-13.16","-13.16","41.29","23.78","49.17","50.63","47.19"
"LZB","La-Z-Boy, Inc.","US Stocks:Consumer Discretionary","-16.90","18.82","-8.23","-4.94","9.91","-1.58","28.37","11.10","31.50","33.20","35.15"
"MAC","Macerich","US Stocks:Real Estate","129.01","52.42","50.31","52.28","36.75","16.62","23.30","9.68","22.04","36.77","44.19"
"MAN","ManpowerGroup","US Stocks:Industrials","25.96","-8.24","-24.31","-23.21","-22.35","-20.64","55.89","32.25","40.08","32.42","31.10"
"MARA","MARA Holdings, Inc.","US Stocks:Technology","14.20","-69.96","-23.48","-22.94","6.44","-19.17","64.03","19.34","57.58","97.97","129.62"
"MATW","Matthews International Corporation","US Stocks:Consumer Discretionary","37.65","46.66","40.22","43.41","-6.51","-5.22","21.02","9.34","15.91","32.13","32.17"
"MATX","Matson, Inc.","US Stocks:Industrials","42.69","216.35","64.59","73.55","39.84","22.43","21.95","12.80","31.93","30.99","37.79"
"MBC","MasterBrand, Inc.","US Stocks:Industrials","-65.32","-49.01","-23.00","-20.19","5.61","5.61","32.92","15.20","38.38","44.66","45.10"
"MBIN","Merchants Bancorp","US Stocks:Financials","177.71","95.47","35.48","54.76","23.94","12.43","41.76","32.19","26.05","35.56","34.59"
"MC","Moelis & Company","US Stocks:Financials","-25.54","-9.94","32.31","38.30","21.68","10.37","34.24","14.96","32.04","35.07","37.90"
"MCRI","Monarch Casino & Resort, Inc.","US Stocks:Consumer Discretionary","209.04","66.13","56.52","54.43","20.56","14.95","56.18","6.72","34.12","28.20","35.93"
"MCY","Mercury General","US Stocks:Financials","60.39","49.65","76.83","85.17","49.57","11.98","23.44","12.67","29.27","34.26","33.84"
"MD","Pediatrix Medical Group","US Stocks:Healthcare","35.72","63.65","80.50","87.43","15.69","-3.40","30.90","16.24","59.61","49.78","45.87"
"MDU","MDU Resources Group, Inc.","US Stocks:Utilities","36.60","23.83","33.23","34.40","28.37","14.86","21.36","11.84","19.64","24.27","23.52"
"MGEE","MGE Energy, Inc.","US Stocks:Utilities","5.41","-14.01","-10.61","-7.82","2.70","3.17","20.17","13.05","9.38","25.02","23.83"
"MGY","Magnolia Oil & Gas, Corp.","US Stocks:Energy","111.78","74.35","43.25","41.88","14.07","25.44","40.73","28.89","24.61","26.72","35.05"
"MHK","Mohawk Industries","US Stocks:Consumer Discretionary","-45.48","-25.48","-3.63","-0.53","1.57","-12.37","33.28","14.94","33.90","40.86","37.92"
"MHO","M/I Homes, Inc.","US Stocks:Consumer Discretionary","-6.97","2.48","23.56","28.12","25.58","17.24","39.47","20.46","33.91","45.54","43.36"
"MIR","Mirion Technologies, Inc.","US Stocks:Technology","-70.78","-42.18","21.25","21.93","31.00","12.29","35.27","21.79","46.14","42.36","41.15"
"MKTX","MarketAxess","US Stocks:Financials","-15.77","-6.29","-25.26","-26.44","-19.42","-19.47","25.53","14.91","27.96","34.21","37.96"
"MLKN","MillerKnoll, Inc.","US Stocks:Industrials","-50.33","-8.86","1.25","8.48","0.58","-14.03","44.36","24.81","45.04","46.52","47.91"
"MMI","Marcus & Millichap, Inc.","US Stocks:Real Estate","30.70","-18.05","-6.92","-5.19","-2.28","-3.48","19.47","10.50","16.26","33.31","33.00"
"MMSI","Merit Medical Systems, Inc.","US Stocks:Healthcare","-57.91","-38.60","-32.06","-29.46","-6.37","0.84","26.24","13.85","19.05","22.77","24.84"
"MNRO","Monro, Inc.","US Stocks:Consumer Discretionary","-48.81","-9.84","23.12","24.53","-26.90","-21.45","42.40","19.18","51.27","45.55","39.04"
"MOH","Molina Healthcare","US Stocks:Healthcare","21.90","46.77","-38.64","-41.03","-11.52","-4.94","53.68","8.80","76.29","48.75","41.09"
"MPT","Medical Properties Trust","US Stocks:Real Estate","19.29","7.23","0.09","2.36","-6.47","-19.16","20.18","6.43","39.51","56.59","50.11"
"MRCY","Mercury Systems","US Stocks:Industrials","-68.80","-9.44","50.31","53.83","16.12","-0.31","33.66","17.15","46.82","44.03","41.81"
"MRP","Millrose Properties, Inc.","US Stocks:Real Estate","26.11","-4.61","34.55","36.54","34.55","34.55","22.33","5.60","27.62","29.00","29.00"
"MRTN","Marten Transport, Ltd.","US Stocks:Industrials","108.72","129.33","17.64","17.96","-9.06","-0.56","28.26","9.65","24.93","25.32","26.07"
"MSEX","Middlesex Water Company","US Stocks:Utilities","5.62","-27.68","-13.16","-10.73","-10.79","-7.42","38.59","26.29","17.62","32.08","33.82"
"MSGS","Madison Square Garden Sports Corp.","US Stocks:Communication Services","76.98","110.91","68.85","73.38","18.33","13.44","21.53","9.17","26.45","24.54","25.11"
"MTCH","Match Group","US Stocks:Communication Services","97.91","30.00","25.45","26.02","3.56","-23.21","27.24","11.44","27.13","33.28","40.33"
"MTH","Meritage Homes Corporation","US Stocks:Consumer Discretionary","-9.23","-9.47","1.62","4.78","3.47","8.87","39.02","16.92","32.08","39.23","39.31"
"MTRN","Materion Corp.","US Stocks:Materials","166.06","71.08","110.53","114.21","16.16","21.73","46.80","14.50","40.85","38.29","35.04"
"MTUS","Metallus Inc","US Stocks:Materials","-7.66","13.27","47.38","48.95","2.10","11.13","28.40","11.39","33.58","40.00","42.39"
"MTX","Minerals Technologies","US Stocks:Materials","28.27","54.51","39.29","38.43","6.94","-1.20","28.23","16.39","21.29","28.51","28.97"
"MWA","Mueller Water Products","US Stocks:Industrials","16.77","16.23","7.72","8.48","28.97","15.87","35.23","21.89","22.42","28.09","29.19"
"MXL","MaxLinear, Inc.","US Stocks:Technology","15386.81","1696.52","565.22","412.92","29.93","13.07","281.64","49.69","272.20","172.44","138.38"
"MYRG","MYR Group, Inc.","US Stocks:Industrials","225.04","136.91","174.71","168.14","40.21","37.40","33.27","16.26","30.42","40.86","36.95"
